cell_zid,area_peresechenia_s_admzone_kv.km,adm_zid,adm_name,okrug_name,sub_ter
34323,2.50063505,216,Роговское,Троицкий административный округ,Новая Москва
34324,2.50063687,216,Роговское,Троицкий административный округ,Новая Москва
34325,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
34326,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
34327,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
34328,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
34329,2.50064522,216,Роговское,Троицкий административный округ,Новая Москва
34330,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
34331,2.50064786,216,Роговское,Троицкий административный округ,Новая Москва
34332,1.88371311,216,Роговское,Троицкий административный округ,Новая Москва
34668,1.82473507,216,Роговское,Троицкий административный округ,Новая Москва
34669,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
34670,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
34671,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
34672,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
34673,2.5006335,216,Роговское,Троицкий административный округ,Новая Москва
34674,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
34675,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
34676,2.5006388200000003,216,Роговское,Троицкий административный округ,Новая Москва
34677,2.50064027,216,Роговское,Троицкий административный округ,Новая Москва
34678,2.50064185,216,Роговское,Троицкий административный округ,Новая Москва
34679,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
34680,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
34681,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
34682,2.5006484700000002,216,Роговское,Троицкий административный округ,Новая Москва
34683,2.2995172399999997,216,Роговское,Троицкий административный округ,Новая Москва
34684,1.74527916,216,Роговское,Троицкий административный округ,Новая Москва
34685,1.89256495,216,Роговское,Троицкий административный округ,Новая Москва
34686,1.9320575500000001,216,Роговское,Троицкий административный округ,Новая Москва
35016,1.9044579199999998,216,Роговское,Троицкий административный округ,Новая Москва
35017,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
35018,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
35019,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
35020,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
35021,2.5006335,216,Роговское,Троицкий административный округ,Новая Москва
35022,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
35023,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
35024,2.50063881,216,Роговское,Троицкий административный округ,Новая Москва
35025,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
35026,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
35027,2.5006437,216,Роговское,Троицкий административный округ,Новая Москва
35028,2.50064522,216,Роговское,Троицкий административный округ,Новая Москва
35029,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
35030,2.50064756,216,Роговское,Троицкий административный округ,Новая Москва
35031,2.50064898,216,Роговское,Троицкий административный округ,Новая Москва
35032,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
35033,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
35034,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
35035,1.3579051000000002,216,Роговское,Троицкий административный округ,Новая Москва
35368,2.13675448,216,Роговское,Троицкий административный округ,Новая Москва
35369,2.5006265400000003,216,Роговское,Троицкий административный округ,Новая Москва
35370,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
35371,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
35372,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
35373,2.50063395,216,Роговское,Троицкий административный округ,Новая Москва
35374,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
35375,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
35376,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
35377,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
35378,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
35379,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
35380,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
35381,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
35382,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
35383,2.50064929,216,Роговское,Троицкий административный округ,Новая Москва
35384,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
35385,2.50065205,216,Роговское,Троицкий административный округ,Новая Москва
35386,2.5006533799999997,216,Роговское,Троицкий административный округ,Новая Москва
35723,0.00042805,216,Роговское,Троицкий административный округ,Новая Москва
35725,0.03490614,216,Роговское,Троицкий административный округ,Новая Москва
35727,0.46581536999999995,216,Роговское,Троицкий административный округ,Новая Москва
35728,2.44635603,216,Роговское,Троицкий административный округ,Новая Москва
35729,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
35730,2.5006286600000003,216,Роговское,Троицкий административный округ,Новая Москва
35731,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
35732,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
35733,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
35734,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
35735,2.50063763,216,Роговское,Троицкий административный округ,Новая Москва
35736,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
35737,2.50064027,216,Роговское,Троицкий административный округ,Новая Москва
35738,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
35739,2.5006431,216,Роговское,Троицкий административный округ,Новая Москва
35740,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
35741,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
35742,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
35743,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
35744,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
35745,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
35746,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
36090,1.24757208,216,Роговское,Троицкий административный округ,Новая Москва
36091,1.77629809,216,Роговское,Троицкий административный округ,Новая Москва
36092,2.08075672,216,Роговское,Троицкий административный округ,Новая Москва
36093,1.9532848,216,Роговское,Троицкий административный округ,Новая Москва
36094,0.87355169,216,Роговское,Троицкий административный округ,Новая Москва
36095,2.25403592,216,Роговское,Троицкий административный округ,Новая Москва
36096,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
36097,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
36098,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
36099,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
36100,2.50063396,216,Роговское,Троицкий административный округ,Новая Москва
36101,2.5006355,216,Роговское,Троицкий административный округ,Новая Москва
36102,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
36103,2.50063866,216,Роговское,Троицкий административный округ,Новая Москва
36104,2.50063966,216,Роговское,Троицкий административный округ,Новая Москва
36105,2.50064185,216,Роговское,Троицкий административный округ,Новая Москва
36106,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
36107,2.5006455300000003,216,Роговское,Троицкий административный округ,Новая Москва
36108,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
36109,2.50064786,216,Роговское,Троицкий административный округ,Новая Москва
36110,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
36111,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
36112,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
36113,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
36458,0.16241062,216,Роговское,Троицкий административный округ,Новая Москва
36459,2.16973206,216,Роговское,Троицкий административный округ,Новая Москва
36460,2.50061695,216,Роговское,Троицкий административный округ,Новая Москва
36461,2.50061863,216,Роговское,Троицкий административный округ,Новая Москва
36462,2.50062073,216,Роговское,Троицкий административный округ,Новая Москва
36463,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
36464,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
36465,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
36466,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
36467,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
36468,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
36469,2.5006338,216,Роговское,Троицкий административный округ,Новая Москва
36470,2.50063551,216,Роговское,Троицкий административный округ,Новая Москва
36471,2.50063763,216,Роговское,Троицкий административный округ,Новая Москва
36472,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
36473,2.50063997,216,Роговское,Троицкий административный округ,Новая Москва
36474,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
36475,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
36476,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
36477,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
36478,2.50064802,216,Роговское,Троицкий административный округ,Новая Москва
36479,2.50064959,216,Роговское,Троицкий административный округ,Новая Москва
36480,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
36481,2.50065251,216,Роговское,Троицкий административный округ,Новая Москва
36482,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
36832,1.25955938,216,Роговское,Троицкий административный округ,Новая Москва
36833,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
36834,2.50061695,216,Роговское,Троицкий административный округ,Новая Москва
36835,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
36836,2.50062118,216,Роговское,Троицкий административный округ,Новая Москва
36837,2.5006229500000003,216,Роговское,Троицкий административный округ,Новая Москва
36838,2.50062468,216,Роговское,Троицкий административный округ,Новая Москва
36839,2.5006265400000003,216,Роговское,Троицкий административный округ,Новая Москва
36840,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
36841,2.50063077,216,Роговское,Троицкий административный округ,Новая Москва
36842,2.50063253,216,Роговское,Троицкий административный округ,Новая Москва
36843,2.50063411,216,Роговское,Троицкий административный округ,Новая Москва
36844,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
36845,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
36846,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
36847,2.50064027,216,Роговское,Троицкий административный округ,Новая Москва
36848,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
36849,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
36850,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
36851,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
36852,2.50064802,216,Роговское,Троицкий административный округ,Новая Москва
36853,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
36854,2.50065069,216,Роговское,Троицкий административный округ,Новая Москва
36855,2.5006523499999997,216,Роговское,Троицкий административный округ,Новая Москва
36856,2.5006533799999997,216,Роговское,Троицкий административный округ,Новая Москва
36857,2.22652279,216,Роговское,Троицкий административный округ,Новая Москва
37219,0.05744258,216,Роговское,Троицкий административный округ,Новая Москва
37220,2.27391634,216,Роговское,Троицкий административный округ,Новая Москва
37221,2.50061495,216,Роговское,Троицкий административный округ,Новая Москва
37222,2.50061695,216,Роговское,Троицкий административный округ,Новая Москва
37223,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
37224,2.50062103,216,Роговское,Троицкий административный округ,Новая Москва
37225,2.5006229500000003,216,Роговское,Троицкий административный округ,Новая Москва
37226,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
37227,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
37228,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
37229,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
37230,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
37231,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
37232,2.50063535,216,Роговское,Троицкий административный округ,Новая Москва
37233,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
37234,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
37235,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
37236,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
37237,2.5006440100000003,216,Роговское,Троицкий административный округ,Новая Москва
37238,2.5006458400000002,216,Роговское,Троицкий административный округ,Новая Москва
37239,2.5006473199999997,216,Роговское,Троицкий административный округ,Новая Москва
37240,2.50064832,216,Роговское,Троицкий административный округ,Новая Москва
37241,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
37242,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
37243,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
37244,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
37610,0.98981245,216,Роговское,Троицкий административный округ,Новая Москва
37611,2.50061291,216,Роговское,Троицкий административный округ,Новая Москва
37612,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
37613,2.50061757,216,Роговское,Троицкий административный округ,Новая Москва
37614,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
37615,2.50062103,216,Роговское,Троицкий административный округ,Новая Москва
37616,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
37617,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
37618,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
37619,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
37620,2.50063016,216,Роговское,Троицкий административный округ,Новая Москва
37621,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
37622,2.50063396,216,Роговское,Троицкий административный округ,Новая Москва
37623,2.50063551,216,Роговское,Троицкий административный округ,Новая Москва
37624,2.50063703,216,Роговское,Троицкий административный округ,Новая Москва
37625,2.50063867,216,Роговское,Троицкий административный округ,Новая Москва
37626,2.50064028,216,Роговское,Троицкий административный округ,Новая Москва
37627,2.50064186,216,Роговское,Троицкий административный округ,Новая Москва
37628,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
37629,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
37630,2.5006461,216,Роговское,Троицкий административный округ,Новая Москва
37631,2.50064771,216,Роговское,Троицкий административный округ,Новая Москва
37632,2.5006496,216,Роговское,Троицкий административный округ,Новая Москва
37633,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
37634,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
37635,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
38002,1.42133142,216,Роговское,Троицкий административный округ,Новая Москва
38003,2.50061321,216,Роговское,Троицкий административный округ,Новая Москва
38004,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
38005,2.50061726,216,Роговское,Троицкий административный округ,Новая Москва
38006,2.50061924,216,Роговское,Троицкий административный округ,Новая Москва
38007,2.50062119,216,Роговское,Троицкий административный округ,Новая Москва
38008,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
38009,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
38010,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
38011,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
38012,2.50063077,216,Роговское,Троицкий административный округ,Новая Москва
38013,2.50063284,216,Роговское,Троицкий административный округ,Новая Москва
38014,2.50063411,216,Роговское,Троицкий административный округ,Новая Москва
38015,2.50063551,216,Роговское,Троицкий административный округ,Новая Москва
38016,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
38017,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
38018,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
38019,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
38020,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
38021,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
38022,2.50064641,216,Роговское,Троицкий административный округ,Новая Москва
38023,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
38024,2.5006496,216,Роговское,Троицкий административный округ,Новая Москва
38025,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
38026,2.50065236,216,Роговское,Троицкий административный округ,Новая Москва
38027,2.5006533799999997,216,Роговское,Троицкий административный округ,Новая Москва
38401,0.01827906,216,Роговское,Троицкий административный округ,Новая Москва
38402,2.2071899900000003,216,Роговское,Троицкий административный округ,Новая Москва
38403,2.50061321,216,Роговское,Троицкий административный округ,Новая Москва
38404,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
38405,2.50061696,216,Роговское,Троицкий административный округ,Новая Москва
38406,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
38407,2.50062119,216,Роговское,Троицкий административный округ,Новая Москва
38408,2.5006231,216,Роговское,Троицкий административный округ,Новая Москва
38409,2.50062468,216,Роговское,Троицкий административный округ,Новая Москва
38410,2.5006265400000003,216,Роговское,Троицкий административный округ,Новая Москва
38411,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
38412,2.50063016,216,Роговское,Троицкий административный округ,Новая Москва
38413,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
38414,2.5006338,216,Роговское,Троицкий административный округ,Новая Москва
38415,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
38416,2.50063733,216,Роговское,Троицкий административный округ,Новая Москва
38417,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
38418,2.50064058,216,Роговское,Троицкий административный округ,Новая Москва
38419,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
38420,2.5006434,216,Роговское,Троицкий административный округ,Новая Москва
38421,2.50064492,216,Роговское,Троицкий административный округ,Новая Москва
38422,2.50064671,216,Роговское,Троицкий административный округ,Новая Москва
38423,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
38424,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
38425,2.50065084,216,Роговское,Троицкий административный округ,Новая Москва
38426,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
38427,2.50065369,216,Роговское,Троицкий административный округ,Новая Москва
38805,0.3687683,216,Роговское,Троицкий административный округ,Новая Москва
38806,2.43435463,216,Роговское,Троицкий административный округ,Новая Москва
38807,2.50061321,216,Роговское,Троицкий административный округ,Новая Москва
38808,2.50061525,216,Роговское,Троицкий административный округ,Новая Москва
38809,2.50061757,216,Роговское,Троицкий административный округ,Новая Москва
38810,2.5006198499999996,216,Роговское,Троицкий административный округ,Новая Москва
38811,2.50062134,216,Роговское,Троицкий административный округ,Новая Москва
38812,2.50062326,216,Роговское,Троицкий административный округ,Новая Москва
38813,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
38814,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
38815,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
38816,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
38817,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
38818,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
38819,2.50063566,216,Роговское,Троицкий административный округ,Новая Москва
38820,2.50063718,216,Роговское,Троицкий административный округ,Новая Москва
38821,2.50063867,216,Роговское,Троицкий административный округ,Новая Москва
38822,2.50064028,216,Роговское,Троицкий административный округ,Новая Москва
38823,2.50064186,216,Роговское,Троицкий административный округ,Новая Москва
38824,2.5006437100000003,216,Роговское,Троицкий административный округ,Новая Москва
38825,2.5006455300000003,216,Роговское,Троицкий административный округ,Новая Москва
38826,2.5006470199999997,216,Роговское,Троицкий административный округ,Новая Москва
38827,2.5006481700000003,216,Роговское,Троицкий административный округ,Новая Москва
38828,2.5006494399999997,216,Роговское,Троицкий административный округ,Новая Москва
38829,2.50065099,216,Роговское,Троицкий административный округ,Новая Москва
38830,2.50065266,216,Роговское,Троицкий административный округ,Новая Москва
38831,2.50041041,216,Роговское,Троицкий административный округ,Новая Москва
39212,1.2162814100000001,216,Роговское,Троицкий административный округ,Новая Москва
39213,2.3379692800000003,216,Роговское,Троицкий административный округ,Новая Москва
39214,2.5006108400000002,216,Роговское,Троицкий административный округ,Новая Москва
39215,2.50061291,216,Роговское,Троицкий административный округ,Новая Москва
39216,2.50061495,216,Роговское,Троицкий административный округ,Новая Москва
39217,2.50061696,216,Роговское,Троицкий административный округ,Новая Москва
39218,2.50061893,216,Роговское,Троицкий административный округ,Новая Москва
39219,2.50062103,216,Роговское,Троицкий административный округ,Новая Москва
39220,2.5006234099999998,216,Роговское,Троицкий административный округ,Новая Москва
39221,2.50062499,216,Роговское,Троицкий административный округ,Новая Москва
39222,2.5006268400000002,216,Роговское,Троицкий административный округ,Новая Москва
39223,2.5006286699999998,216,Роговское,Троицкий административный округ,Новая Москва
39224,2.50063016,216,Роговское,Троицкий административный округ,Новая Москва
39225,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
39226,2.50063396,216,Роговское,Троицкий административный округ,Новая Москва
39227,2.50063551,216,Роговское,Троицкий административный округ,Новая Москва
39228,2.50063718,216,Роговское,Троицкий административный округ,Новая Москва
39229,2.50063897,216,Роговское,Троицкий административный округ,Новая Москва
